"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Seccio_Censal","Tipus_Propulsio","Nombre"
2025,"01","Ciutat Vella","01","el Raval","001","Combustió Interna-Gasolina",294
2025,"01","Ciutat Vella","01","el Raval","001","Combustió Interna-Gasoil",227
2025,"01","Ciutat Vella","01","el Raval","001","Elèctrica",12
2025,"01","Ciutat Vella","01","el Raval","001","Híbrid",267
2025,"01","Ciutat Vella","01","el Raval","001","Altres",109
2025,"01","Ciutat Vella","01","el Raval","002","Combustió Interna-Gasolina",282
2025,"01","Ciutat Vella","01","el Raval","002","Combustió Interna-Gasoil",126
2025,"01","Ciutat Vella","01","el Raval","002","Elèctrica",2
2025,"01","Ciutat Vella","01","el Raval","002","Híbrid",16
2025,"01","Ciutat Vella","01","el Raval","002","Altres",4
2025,"01","Ciutat Vella","01","el Raval","002","No consta",1
2025,"01","Ciutat Vella","01","el Raval","003","Combustió Interna-Gasolina",469
2025,"01","Ciutat Vella","01","el Raval","003","Combustió Interna-Gasoil",260
2025,"01","Ciutat Vella","01","el Raval","003","Elèctrica",9
2025,"01","Ciutat Vella","01","el Raval","003","Híbrid",50
2025,"01","Ciutat Vella","01","el Raval","003","Altres",13
2025,"01","Ciutat Vella","01","el Raval","004","Combustió Interna-Gasolina",487
2025,"01","Ciutat Vella","01","el Raval","004","Combustió Interna-Gasoil",231
2025,"01","Ciutat Vella","01","el Raval","004","Elèctrica",10
2025,"01","Ciutat Vella","01","el Raval","004","Híbrid",51
2025,"01","Ciutat Vella","01","el Raval","004","Altres",15
2025,"01","Ciutat Vella","01","el Raval","004","No consta",1
2025,"01","Ciutat Vella","01","el Raval","005","Combustió Interna-Gasolina",447
2025,"01","Ciutat Vella","01","el Raval","005","Combustió Interna-Gasoil",183
2025,"01","Ciutat Vella","01","el Raval","005","Elèctrica",11
2025,"01","Ciutat Vella","01","el Raval","005","Híbrid",39
2025,"01","Ciutat Vella","01","el Raval","005","Altres",6
2025,"01","Ciutat Vella","01","el Raval","005","No consta",1
2025,"01","Ciutat Vella","01","el Raval","006","Combustió Interna-Gasolina",290
2025,"01","Ciutat Vella","01","el Raval","006","Combustió Interna-Gasoil",127
2025,"01","Ciutat Vella","01","el Raval","006","Elèctrica",2
2025,"01","Ciutat Vella","01","el Raval","006","Híbrid",20
2025,"01","Ciutat Vella","01","el Raval","006","Altres",3
2025,"01","Ciutat Vella","01","el Raval","006","No consta",1
2025,"01","Ciutat Vella","01","el Raval","007","Combustió Interna-Gasolina",290
2025,"01","Ciutat Vella","01","el Raval","007","Combustió Interna-Gasoil",173
2025,"01","Ciutat Vella","01","el Raval","007","Elèctrica",8
2025,"01","Ciutat Vella","01","el Raval","007","Híbrid",38
2025,"01","Ciutat Vella","01","el Raval","007","Altres",4
2025,"01","Ciutat Vella","01","el Raval","007","No consta",1
2025,"01","Ciutat Vella","01","el Raval","008","Combustió Interna-Gasolina",398
2025,"01","Ciutat Vella","01","el Raval","008","Combustió Interna-Gasoil",182
2025,"01","Ciutat Vella","01","el Raval","008","Elèctrica",4
2025,"01","Ciutat Vella","01","el Raval","008","Híbrid",57
2025,"01","Ciutat Vella","01","el Raval","008","Altres",6
2025,"01","Ciutat Vella","01","el Raval","008","No consta",1
2025,"01","Ciutat Vella","01","el Raval","009","Combustió Interna-Gasolina",307
2025,"01","Ciutat Vella","01","el Raval","009","Combustió Interna-Gasoil",177
2025,"01","Ciutat Vella","01","el Raval","009","Elèctrica",3
2025,"01","Ciutat Vella","01","el Raval","009","Híbrid",39
2025,"01","Ciutat Vella","01","el Raval","009","Altres",12
2025,"01","Ciutat Vella","01","el Raval","010","Combustió Interna-Gasolina",293
2025,"01","Ciutat Vella","01","el Raval","010","Combustió Interna-Gasoil",164
2025,"01","Ciutat Vella","01","el Raval","010","Elèctrica",4
2025,"01","Ciutat Vella","01","el Raval","010","Híbrid",28
2025,"01","Ciutat Vella","01","el Raval","010","Altres",6
2025,"01","Ciutat Vella","01","el Raval","011","Combustió Interna-Gasolina",417
2025,"01","Ciutat Vella","01","el Raval","011","Combustió Interna-Gasoil",215
2025,"01","Ciutat Vella","01","el Raval","011","Elèctrica",6
2025,"01","Ciutat Vella","01","el Raval","011","Híbrid",32
2025,"01","Ciutat Vella","01","el Raval","011","Altres",3
2025,"01","Ciutat Vella","01","el Raval","011","No consta",1
2025,"01","Ciutat Vella","01","el Raval","012","Combustió Interna-Gasolina",284
2025,"01","Ciutat Vella","01","el Raval","012","Combustió Interna-Gasoil",125
2025,"01","Ciutat Vella","01","el Raval","012","Elèctrica",4
2025,"01","Ciutat Vella","01","el Raval","012","Híbrid",24
2025,"01","Ciutat Vella","01","el Raval","012","Altres",9
2025,"01","Ciutat Vella","01","el Raval","013","Combustió Interna-Gasolina",193
2025,"01","Ciutat Vella","01","el Raval","013","Combustió Interna-Gasoil",83
2025,"01","Ciutat Vella","01","el Raval","013","Elèctrica",6
2025,"01","Ciutat Vella","01","el Raval","013","Híbrid",23
2025,"01","Ciutat Vella","01","el Raval","013","Altres",3
2025,"01","Ciutat Vella","01","el Raval","014","Combustió Interna-Gasolina",234
2025,"01","Ciutat Vella","01","el Raval","014","Combustió Interna-Gasoil",103
2025,"01","Ciutat Vella","01","el Raval","014","Elèctrica",5
2025,"01","Ciutat Vella","01","el Raval","014","Híbrid",16
2025,"01","Ciutat Vella","01","el Raval","014","Altres",4
2025,"01","Ciutat Vella","01","el Raval","015","Combustió Interna-Gasolina",281
2025,"01","Ciutat Vella","01","el Raval","015","Combustió Interna-Gasoil",138
2025,"01","Ciutat Vella","01","el Raval","015","Elèctrica",4
2025,"01","Ciutat Vella","01","el Raval","015","Híbrid",30
2025,"01","Ciutat Vella","01","el Raval","015","Altres",10
2025,"01","Ciutat Vella","01","el Raval","015","No consta",1
2025,"01","Ciutat Vella","01","el Raval","016","Combustió Interna-Gasolina",258
2025,"01","Ciutat Vella","01","el Raval","016","Combustió Interna-Gasoil",88
2025,"01","Ciutat Vella","01","el Raval","016","Elèctrica",4
2025,"01","Ciutat Vella","01","el Raval","016","Híbrid",18
2025,"01","Ciutat Vella","01","el Raval","016","Altres",3
2025,"01","Ciutat Vella","01","el Raval","016","No consta",1
2025,"01","Ciutat Vella","01","el Raval","017","Combustió Interna-Gasolina",335
2025,"01","Ciutat Vella","01","el Raval","017","Combustió Interna-Gasoil",102
2025,"01","Ciutat Vella","01","el Raval","017","Elèctrica",2
2025,"01","Ciutat Vella","01","el Raval","017","Híbrid",28
2025,"01","Ciutat Vella","01","el Raval","017","Altres",5
2025,"01","Ciutat Vella","01","el Raval","017","No consta",2
2025,"01","Ciutat Vella","01","el Raval","018","Combustió Interna-Gasolina",227
2025,"01","Ciutat Vella","01","el Raval","018","Combustió Interna-Gasoil",108
2025,"01","Ciutat Vella","01","el Raval","018","Elèctrica",41
2025,"01","Ciutat Vella","01","el Raval","018","Híbrid",17
2025,"01","Ciutat Vella","01","el Raval","018","Altres",5
2025,"01","Ciutat Vella","01","el Raval","019","Combustió Interna-Gasolina",398
2025,"01","Ciutat Vella","01","el Raval","019","Combustió Interna-Gasoil",208
2025,"01","Ciutat Vella","01","el Raval","019","Elèctrica",5
2025,"01","Ciutat Vella","01","el Raval","019","Híbrid",26
2025,"01","Ciutat Vella","01","el Raval","019","Altres",2
2025,"01","Ciutat Vella","01","el Raval","019","No consta",1
2025,"01","Ciutat Vella","01","el Raval","020","Combustió Interna-Gasolina",393
2025,"01","Ciutat Vella","01","el Raval","020","Combustió Interna-Gasoil",158
2025,"01","Ciutat Vella","01","el Raval","020","Elèctrica",17
2025,"01","Ciutat Vella","01","el Raval","020","Híbrid",36
2025,"01","Ciutat Vella","01","el Raval","020","Altres",8
2025,"01","Ciutat Vella","01","el Raval","021","Combustió Interna-Gasolina",482
2025,"01","Ciutat Vella","01","el Raval","021","Combustió Interna-Gasoil",191
2025,"01","Ciutat Vella","01","el Raval","021","Elèctrica",9
2025,"01","Ciutat Vella","01","el Raval","021","Híbrid",54
2025,"01","Ciutat Vella","01","el Raval","021","Altres",31
2025,"01","Ciutat Vella","02","el Barri Gòtic","022","Combustió Interna-Gasolina",356
